arr_city,dep_city ,number
台湾,上海,2938
台湾,香港,2170
台湾,深圳,1664
天津,北京,41675
天津,重庆,31113
天津,哈尔滨,23882
石家庄,保定,26768
石家庄,邢台,25013
石家庄,北京,23486
唐山,天津,18442
唐山,北京,12232
唐山,秦皇岛,11856
秦皇岛,哈尔滨,12141
秦皇岛,长春,10797
秦皇岛,唐山,9928
邯郸,北京,19783
邯郸,石家庄,18010
邯郸,邢台,14365
邢台,石家庄,27995
邢台,邯郸,15511
邢台,北京,11417
保定,北京,42165
保定,石家庄,32063
保定,廊坊,11449
张家口,北京,17633
张家口,石家庄,4031
张家口,大同,3610
承德,北京,11022
承德,唐山,4305
承德,石家庄,3348
沧州,天津,15790
沧州,北京,11269
沧州,石家庄,10662
廊坊,北京,74466
廊坊,天津,22759
廊坊,保定,10811
衡水,石家庄,12019
衡水,北京,7418
衡水,沧州,7410
太原,晋中,37894
太原,吕梁,17657
太原,上海,13787
大同,朔州,8620
大同,太原,8249
大同,北京,4042
阳泉,太原,4899
阳泉,晋中,3906
阳泉,石家庄,2479
长治,太原,9453
长治,晋城,5127
长治,晋中,3984
晋城,太原,4772
晋城,长治,4471
晋城,郑州,2004
朔州,大同,9364
朔州,太原,4781
朔州,忻州,2833
晋中,太原,39901
晋中,吕梁,7008
晋中,阳泉,4517
运城,太原,9685
运城,临汾,9536
运城,北京,5544
忻州,太原,15712
忻州,榆林,4249
忻州,哈尔滨,3240
临汾,太原,12129
临汾,运城,9163
临汾,晋中,5134
吕梁,太原,22350
吕梁,晋中,7570
吕梁,榆林,4339
呼和浩特,包头,14913
呼和浩特,乌兰察布,12778
呼和浩特,上海,11148
包头,呼和浩特,17094
包头,鄂尔多斯,7497
包头,上海,7355
乌海,鄂尔多斯,5713
乌海,呼和浩特,3176
乌海,阿拉善盟,2015
赤峰,呼和浩特,16160
赤峰,朝阳,4529
赤峰,通辽,4151
通辽,呼和浩特,10001
通辽,赤峰,7846
通辽,沈阳,4849
鄂尔多斯,呼和浩特,12655
鄂尔多斯,榆林,10718
鄂尔多斯,包头,8555
呼伦贝尔,呼和浩特,16231
呼伦贝尔,齐齐哈尔,5418
呼伦贝尔,天津,5273
巴彦淖尔,呼和浩特,10420
巴彦淖尔,包头,7156
巴彦淖尔,鄂尔多斯,3118
乌兰察布,呼和浩特,18274
乌兰察布,包头,5798
乌兰察布,大同,2600
兴安盟,呼和浩特,4402
兴安盟,白城,3134
兴安盟,通辽,2323
锡盟,呼和浩特,6925
锡盟,赤峰,3120
锡盟,乌兰察布,2309
阿拉善盟,乌海,2389
阿拉善盟,北京,1761
阿拉善盟,银川,1411
沈阳,上海,31524
沈阳,武汉,23700
沈阳,大连,22949
大连,沈阳,19466
大连,上海,9074
大连,西安,8288
鞍山,沈阳,12950
鞍山,大连,8445
鞍山,辽阳,8348
抚顺,沈阳,14102
抚顺,大连,2898
抚顺,上海,2619
本溪,沈阳,7431
本溪,丹东,2342
本溪,大连,2135
丹东,沈阳,7773
丹东,大连,5467
丹东,本溪,2112
锦州,沈阳,13036
锦州,葫芦岛,6361
锦州,长春,5631
营口,大连,10697
营口,沈阳,8119
营口,鞍山,4703
阜新,沈阳,7034
阜新,锦州,2906
阜新,通辽,1826
辽阳,沈阳,10732
辽阳,鞍山,7922
辽阳,大连,3566
盘锦,沈阳,6176
盘锦,锦州,5388
盘锦,大连,3912
铁岭,沈阳,16778
铁岭,大连,5256
铁岭,四平,3479
朝阳,沈阳,11091
朝阳,赤峰,3672
朝阳,锦州,2996
葫芦岛,沈阳,12645
葫芦岛,哈尔滨,8520
葫芦岛,锦州,6583
长春,上海,52652
